,Name,Price,County,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Battery Range (up to)
353,Nissan QASHQAI 1.5 SV 18 4DR,"€23,945",Galway,Nissan,Qashqai,---,---,2018,"95,000 km",Diesel,Manual,MPV,1.5 litre,---,---,---,4,Blue,Ireland,2,180,Mar 2022,---,Available,,
354,Honda Civic 1.0 Vtec Turbo Premium CVT,"€31,950",Galway,Honda,Civic,---,---,2020,"15,000 km",Petrol,Automatic,Hatchback,1.0 litre,---,---,---,5,Grey,Ireland,1,---,Jul 2024,---,Available,,
355,2016 Toyota Aqua Hybrid Push Start Reverse Camera,"€11,495",Dublin,Toyota,Aqua,---,---,2016,"64,000 mi",Petrol Hybrid,Automatic,Hatchback,1.5 litre,---,---,5,5,Black,Ireland,---,180,Sep 2024,---,3 Month,---,
356,2016 Prius C  Aqua with Push Start,"€11,495",Dublin,Toyota,Prius,---,---,2016,"64,000 mi",Petrol Hybrid,Automatic,Hatchback,1.5 litre,---,---,5,5,Black,Ireland,---,150,Sep 2024,---,3 Month,---,
357,Audi E-Tron E-tron Technik 50 Quattro Technik 11k,"€57,995",Dublin,Audi,e-tron,---,---,2020,"48,356 km",Electric,Automatic,SUV,,---,---,---,5,Black,UK,1,---,---,---,Available,---,---
358,Kia Sportage 1.6 DSL K3,"€37,995",Dublin,KIA,Sportage,K2,Base Trim,2022,"21,893 km",Diesel,Manual,MPV,1.6 litre,115hp,12.0 sec,5,5,Brown,Ireland,1,210,Feb 2026,---,,,
359,Audi A3 1.6tdi 6speed Sat Nav New Nct,"€13,500",Cork,Audi,A3,SE,Luxury Trim,2014,"170,000 km",Diesel,Manual,Hatchback,1.6 litre,105hp,10.9 sec,5,5,Red,Ireland,2,180,May 2024,5/5,,,
360,Renault Captur 1.5dci Iconic,"€18,995",Wexford,Renault,Captur,---,---,2019,"62,947 km",Diesel,Manual,SUV,1.5 litre,---,---,---,5,Grey,Northern Ireland,1,---,---,---,Available,,
361,Toyota Avensis 2.0d4d Estate NCT TAX AURA,"€10,950",Cork,Toyota,Avensis,Aura,Medium Trim,2015,"213,000 km",Diesel,Manual,Estate,2.0 litre,124hp,---,5,4,Silver,Ireland,---,200,Oct 2023,---,,,
362,Mini Countryman 1.6td low km low tax Nct,"€8,999",Cork,Mini,Countryman,---,---,2012,"158,100 km",Diesel,Manual,MPV,1.6 litre,---,---,5,4,Black,Ireland,2,200,Jan 2023,---,3 Month,,
363,AUDI A6 - 2017 SLINE AUTO Turbo Diesel,"€28,750",Galway,Audi,A6,---,---,2017,"58,500 mi",Diesel,Automatic,Saloon,2.0 litre,---,---,5,4,Black,Ireland,1,190,Sep 2024,---,6 Month,,
364,Mercedes-Benz CLA-Class Mercedes-benz Cla-class,"€31,950",Limerick,Mercedes-Benz,CLA-Class,---,Base Trim,2018,"89,000 mi",Diesel,Automatic,Estate,2.1 litre,177hp,7.8 sec,5,5,Black,UK,---,---,Feb 2024,---,6 Month,,
