,Name,Price,County,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Battery Range (up to)
2598,Toyota altezza 2000,"€11,250","Sligo Town, Sligo",Toyota,Other,,,2000,"183,000 km",Petrol,Unknown,Saloon,2.0 litre,,,5,---,Blue,Ireland,15,710,Oct 2020,,,,
2599,Volkswagen Golf 1.6TDI For Sale,"€16,500",Waterford,Volkswagen,Golf,Trendline,Base Trim,2016,"63,300 mi",Diesel,Manual,Estate,1.6 litre,110hp,10.7 sec,5,5,Silver,Ireland,1,180,May 2024,5/5,,,
2600,Ford galaxy titanium 2011,"€5,500","Birr, Offaly",Ford,Galaxy,Titanium,Luxury Trim,2011,"210,000 mi",Diesel,Manual,MPV,2.0 litre,140hp,10.6 sec,7,5,Black,Ireland,---,390,May 2023,---,,,
2601,BMW 420D GRANDCOUPE,"€24,500","Kilkenny City, Kilkenny",BMW,4-Series,M Sport,Sports Trim,2015,"162,000 km",Diesel,Automatic,Coupe,2.0 litre,190hp,7.1 sec,5,2,Black,Ireland,---,190,Oct 2023,---,,,
2602,2009 Volkswagen Golf - New NCT - Low Mileage,"€4,995","West County, Dublin",Volkswagen,Golf,,,2009,149 mi,Diesel,Manual,Hatchback,2.0 litre,,,5,5,Silver,Ireland,2,200,Apr 2023,,,,
2603,Audi A6 A6 2.0 40tdi 204BHP SE Automatic,"€46,995",Cork,Audi,A6,SE,Base Trim,2020,"53,046 km",Diesel,Automatic,Saloon,2.0 litre,204hp,8.1 sec,5,4,Black,Ireland,2,200,Jan 2024,5/5,Available,,
2604,06 206 cc,"€1,750","Clonmel, Tipperary",Peugeot,206,,,2006,"171,000 km",Petrol,Manual,Hatchback,1.6 litre,,,4,2,Grey,Ireland,1,514,Aug 2022,,,,
2605,Honda fit hybrid 2014,"€9,750","South County, Dublin",Honda,Fit,---,---,2014,"96,000 mi",Petrol Hybrid,Automatic,Hatchback,1.5 litre,---,---,5,5,Silver,Ireland,1,150,Feb 2024,---,,---,
2606,Land Rover Range Rover Velar TD4 180 Auto,"€64,950",Kildare,LAND ROVER,Range Rover Velar,Standard,Base Trim,2019,"47,196 km",Diesel,Automatic,SUV,2.0 litre,180hp,8.9 sec,5,5,White,Ireland,1,390,Mar 2023,5/5,2 Year,,
2607,BMW 4 Series 420d Xdrive M Sport Gran Coupe,"€37,900",Cork,BMW,4-Series,M Sport,Sports Trim,2018,"50,566 km",Diesel,Manual,Coupe,2.0 litre,184hp,7.5 sec,5,5,Silver,Ireland,---,270,---,---,Available,,
2608,Peugeot 508  Automatic TOP Spec 1.6 HDI Blue 120,"€13,995",Wexford,Peugeot,508,Allure,Medium Trim,2016,"180,246 km",Diesel,Automatic,Saloon,1.6 litre,120hp,11.0 sec,5,5,Silver,Ireland,1,190,Nov 2023,5/5,,,
2609,Citroen C1 1.0 5DR VTR 68bhp 5DR Finance Availabl,"€5,949",Meath,Citroen,C1,VTR,Luxury Trim,2013,"150,750 km",Petrol,Manual,Hatchback,1.0 litre,68hp,12.3 sec,4,5,Blue,Ireland,2,170,Aug 2024,---,Available,,
2610,SEAT Ibiza 2018,"€12,000","Kilkenny City, Kilkenny",SEAT,Ibiza,S,Base Trim,2018,"81,246 km",Diesel,Manual,Hatchback,1.6 litre,80hp,13.0 sec,5,5,Grey,Ireland,1,180,Aug 2022,5/5,,,
2611,"Mercedes-Benz A-Class, 2005 79000 MILES AUTO NCT","€2,750",Kildare,Mercedes-Benz,A-Class,,,2005,"79,000 mi",Diesel,---,Hatchback,2.0 litre,,,5,---,Gold,Ireland,3,---,Mar 2023,,,,
2612,Tesla MODEL S 2018 100D LONG RANGE,"€79,000","PortLaoise, Laois",Tesla,MODEL S,---,Base Trim,2018,"60,000 km",Electric,Automatic,Hatchback,,517hp,---,5,5,Blue,Ireland,1,120,Dec 2022,---,,---,---
2613,Mercedes-Benz GLE-Class GLE 250 Bluetec Auto,"€44,995",Dublin,Mercedes-Benz,GLE-Class,---,Base Trim,2016,"144,244 km",Diesel,Automatic,SUV,2.1 litre,204hp,8.6 sec,5,5,Black,Ireland,4,280,Jan 2024,---,Available,,
2614,Opel Corsa SRI 1.2i (75ps) S/S 5 Speed,"€25,750",Tipperary,Opel,Corsa,SRi,Medium Trim,2022,10 km,Petrol,Manual,Hatchback,1.2 litre,75hp,12.4 sec,5,4,Red,Ireland,1,190,Jul 2026,4/5,Available,,
2615,BMW 4 Series 420 M Sport 420d 190 Step Auto Start,"€37,995",Dublin,BMW,4-Series,---,---,2019,"66,193 km",Diesel,Automatic,Hatchback,2.0 litre,---,---,---,5,Blue,UK,2,---,---,---,Available,,
2616,"Toyota Corolla, 2006. NEW NCT UNTILL 2024","€2,499",Limerick,Toyota,Corolla,,,2006,"186,000 km",Petrol,Manual,Saloon,1.4 litre,,,5,4,Blue,Ireland,5,385,Jan 2024,,Available,,
2617,BMW 535 M-Sport 535D,"€11,450",Dublin,BMW,5-Series,,,2007,"195,211 mi",Diesel,Automatic,Saloon,3.0 litre,,,5,4,Black,Ireland,14,1494,Sep 2022,,,,
2618,Mini Cooper S,"€7,350","Newbridge, Kildare",Mini,Cooper,,,2008,"207,000 km",Petrol,Manual,Hatchback,1.6 litre,,,4,2,Grey,Ireland,3,390,Jan 2023,,,,
2619,2016 Audi Q7 S-Line 3.0 Tdi Quattro 272BHP 7 Seat,"€34,950","Galway City, Galway",Audi,Q7,S Line,Sports Trim,2016,"190,990 mi",Diesel,Automatic,SUV,3.0 litre,272hp,6.5 sec,7,5,Silver,Ireland,1,390,Mar 2024,5/5,,,
2620,2015 Opel Mokka CDTi SC,"€11,950",Donegal,Opel,Mokka,SC,Medium Trim,2015,"137,000 km",Diesel,Manual,SUV,1.7 litre,130hp,10.0 sec,5,5,Blue,Ireland,2,200,Aug 2023,---,,,
2621,Suzuki splash 1.0 tax & nct 2023,"€5,750","North City, Dublin",Suzuki,Splash,GL,Base Trim,2012,"52,700 mi",Petrol,Manual,Hatchback,1.0 litre,65hp,14.7 sec,5,5,White,Ireland,1,190,Oct 2023,---,,,
2622,2006 Volkswagen Passat,€650,"Borris-In-Ossory, Laois",Volkswagen,Passat,,,2006,"242,000 km",Diesel,Manual,Saloon,1.9 litre,,,5,4,Black,Ireland,3,673,Jan 2022,,,,
2623,SEAT Ateca 1.6tdi 115HP SE,"€21,895",Sligo,SEAT,Ateca,SE,Medium Trim,2018,"155,644 km",Diesel,Manual,SUV,1.6 litre,115hp,11.5 sec,5,5,Grey,Ireland,2,200,Feb 2024,5/5,Available,,
2624,BMW 5 Series 530e M Sport Iperformance Saloon,"€33,900",Cork,BMW,5-Series,M Sport,Sports Trim,2017,"54,597 km",Hybrid,Automatic,Saloon,2.0 litre,252hp,6.2 sec,5,4,Blue,Ireland,---,170,---,5/5,Available,---,
2625,Toyota Auris 1.33 Dual Vvt-i 5Dr Aura,"€12,900",Cork,Toyota,Auris,---,---,2015,"59,000 km",Petrol,Manual,MPV,1.3 litre,---,---,---,4,Black,Ireland,2,270,Jul 2023,---,,,
2626,2007 Ford Fiesta 1.2 - New NCT & Low Km’s,"€2,995","Carlow Town, Carlow",Ford,Fiesta,,,2007,"147,000 km",Petrol,Manual,Hatchback,1.2 litre,,,5,5,Blue,Ireland,3,358,Sep 2023,,,,
2627,BMW 5 Series M Sport 530E,"€34,900",Dublin,BMW,5-Series,M Sport,Sports Trim,2018,"115,143 km",Hybrid,Automatic,Saloon,2.0 litre,252hp,6.2 sec,5,4,Blue,Other,1,140,May 2024,5/5,Available,---,
2628,Hyundai ix35 1.7 Executive NCT 5/23,"€12,950",Dublin,Hyundai,ix35,Executive,Medium Trim,2013,"91,002 km",Diesel,Manual,SUV,1.7 litre,115hp,12.4 sec,5,5,Silver,Ireland,2,280,May 2023,5/5,Available,,
2629,Nissan Almera 2005,€650,"Naas, Kildare",Nissan,Almera,,,2005,"203,408 mi",Petrol,Automatic,Saloon,1.8 litre,,,5,4,Silver,Ireland,2,636,---,,,,
2630,Toyota Yaris 1.0 Vvt-i 5Dr Sol,"€12,500",Limerick,Toyota,Yaris,Sol,Medium Trim,2015,"62,413 km",Petrol,Manual,Hatchback,1.0 litre,69hp,15.3 sec,5,4,Beige,Ireland,2,180,Nov 2023,5/5,Available,,
2631,Audi A5 2012,"€10,500","West County, Dublin",Audi,A5,---,Base Trim,2012,"140,000 mi",Diesel,Unknown,Hatchback,2.0 litre,136hp,9.5 sec,5,---,Blue,Ireland,---,200,May 2024,---,,,
2632,Volvo S60 NEED GONE,"€12,000",Mayo,Volvo,S60,ES,Base Trim,2016,"98,000 mi",Diesel,Manual,Saloon,2.0 litre,120hp,11.2 sec,5,4,White,Ireland,---,180,Dec 2022,---,,,
2633,Mitsubishi Outlander 4WD 7 Seater Instyle Trinity,"€31,950",Wexford,Mitsubishi,Outlander,Instyle,Base Trim,2019,"78,140 km",Diesel,Manual,SUV,2.3 litre,150hp,10.2 sec,7,4,Red,Ireland,2,280,Jul 2023,5/5,Available,,
2634,2013 M Sport,"€12,000","City Centre, Dublin",BMW,5-Series,M Sport,Sports Trim,2013,"157,000 mi",Diesel,Automatic,Saloon,2.0 litre,184hp,8.1 sec,5,4,Black,Ireland,2,270,Sep 2023,5/5,,,
2635,Mercedes-Benz E-Class 2000,"€4,800","Tralee, Kerry",Mercedes-Benz,E-Class,,,2000,"103,562 mi",Petrol,Automatic,Saloon,2.8 litre,,,8,6,Black,Ireland,---,---,Dec 2022,,,,
2636,2011 FIAT 500 TWINAIR SPORT,"€5,950",Dublin,Fiat,500,Pop,Base Trim,2011,"81,704 mi",Petrol,Manual,Hatchback,0.9 litre,85hp,11.0 sec,4,3,Grey,Ireland,---,170,Apr 2023,---,Available,,
2637,Range Rover sport,"€4,850","Celbridge, Kildare",LAND ROVER,Range Rover Sport,,,2006,"217,000 km",Diesel,Automatic,SUV,2.7 litre,,,2,5,Black,Ireland,4,---,Oct 2019,,,,
2638,Mazda 2 1.5 (75ps) Executive  1000 Price Reduction,"€13,995",Dublin,Mazda,2,Executive,Medium Trim,2017,"41,000 km",Petrol,Manual,Hatchback,1.5 litre,75hp,12.1 sec,5,4,Red,Ireland,2,190,Jan 2023,4/5,Available,,
2639,Renault Captur 1.5 Diesel Play,"€16,490",Limerick,Renault,Captur,PLAY,Base Trim,2019,"103,800 km",Diesel,Manual,Hatchback,1.5 litre,90hp,13.1 sec,5,5,Grey,Ireland,1,190,Jun 2023,---,Available,,
2640,Porsche Boxster S 550 Spyder Edition,No Price,Sligo,Porsche,Boxster,,,2004,"52,000 mi",Petrol,---,Convertible,3.2 litre,,,2,---,Silver,Ireland,---,1809,Nov 2021,,,,
2641,Audi Q5 S-Line Quattro,"€41,500",Sligo,Audi,Q5,S Line,Luxury Trim,2018,"136,000 km",Diesel,Manual,SUV,2.0 litre,190hp,7.6 sec,5,5,Grey,Ireland,1,280,Jan 2024,5/5,,,
2642,Vw beetle herbie,"€4,500","Nenagh, Tipperary",Volkswagen,Beetle,,,2005,"121,000 mi",Petrol,---,Hatchback,1.8 litre,,,4,---,White,Ireland,7,---,Mar 2023,,,,
2643,2013 Hyundai i30 - 1.4D - Tourer Classic,"€7,450",Laois,Hyundai,i30,Elite,Base Trim,2013,"172,268 km",Diesel,Manual,Estate,1.4 litre,90hp,13.9 sec,5,4,White,Ireland,4,200,Jul 2023,5/5,6 Month,,
2644,Mitsubishi Outlander,"€17,500","Cork City, Cork",Mitsubishi,Outlander,Intense+,Base Trim,2015,"129,000 mi",Petrol Plug-in Hybrid,Automatic,SUV,2.0 litre,203hp,11.0 sec,5,5,Black,Ireland,1,170,Apr 2023,5/5,,12 kWh,---
2645,Audi A6 2.0tdi 204BHP Sport Auto,"€37,900",Galway,Audi,A6,SE,Base Trim,2019,"102,456 km",Diesel,Automatic,Saloon,2.0 litre,204hp,8.1 sec,5,4,Grey,Ireland,1,190,Mar 2023,5/5,12 Month,,
2646,FORD MONDEO ST-LINE TDCI,"€19,250",Sligo,Ford,Mondeo,ST-LINE,Medium Trim,2017,"157,000 km",Diesel,Manual,Hatchback,2.0 litre,150hp,9.4 sec,5,4,White,Ireland,1,200,Mar 2023,5/5,,,
2647,Audi S3,"€29,500",Sligo,Audi,S3,---,Base Trim,2014,"105,000 km",Petrol,Manual,Hatchback,2.0 litre,265hp,5.7 sec,5,3,Black,Ireland,---,600,Jun 2024,---,,,
2648,BMW M135i xDrive,"€48,750",Sligo,BMW,1-Series,---,Sports Trim,2020,"21,000 mi",Petrol,Automatic,Hatchback,2.0 litre,306hp,4.8 sec,5,4,Blue,Ireland,2,570,Jan 2024,---,,,
2649,Porsche 911 Turbo,"€71,000",Sligo,Porsche,911,,,2003,"87,800 mi",Petrol,---,Coupe,3.6 litre,,,4,2,Black,Ireland,---,1809,Oct 2023,,,,
2650,Volkswagen Golf GTI,"€31,500",Sligo,Volkswagen,Golf,GTI,Sports Trim,2018,---,Petrol,Automatic,Estate,2.0 litre,230hp,6.5 sec,5,3,Black,Ireland,1,390,Jan 2024,5/5,,,
2651,Citroen C3 1.4hdi 70hp Connected Special ED,"€10,850",Tipperary,Citroen,C3,Connected Special Edition,Base Trim,2015,"90,001 km",Diesel,Manual,Hatchback,1.4 litre,70hp,13.5 sec,5,5,Blue,Ireland,2,180,Aug 2021,4/5,,,
2652,Audi A7 Quattro,"€32,500",Sligo,Audi,A7,SE,Base Trim,2016,"60,000 km",Diesel,Automatic,Hatchback,3.0 litre,218hp,6.8 sec,5,4,Black,Ireland,2,280,Nov 2022,---,,,
2653,BMW 5-Series 2014,"€15,000",Limerick,BMW,5-Series,SE,Base Trim,2014,"148,000 km",Diesel,Automatic,Saloon,2.0 litre,184hp,8.1 sec,5,4,Black,Ireland,2,270,Sep 2024,---,,,
2654,161 Nissan X-Trail 5dr,"€17,950","Navan, Meath",Nissan,X-Trail,XE,Base Trim,2016,"74,500 mi",Diesel,Manual,SUV,1.6 litre,130hp,10.5 sec,5,5,Blue,Ireland,1,270,Feb 2022,---,,,
2655,"Audi A4, 2016 2.0 TDI S LINE 187BHP 4DR AUTO","€22,999",Meath,Audi,A4,S Line,Sports Trim,2016,"136,816 km",Diesel,Automatic,Saloon,2.0 litre,190hp,7.7 sec,5,4,Grey,Ireland,---,190,Jul 2023,5/5,3 Month,,
2656,Opel Corsa My21 New Sri-1.2 75ps-pe,"€24,545",Waterford,Opel,Corsa,SRi,Medium Trim,2022,5 km,Petrol,Manual,Hatchback,1.2 litre,75hp,13.2 sec,5,4,White,Ireland,1,200,Apr 2026,4/5,Available,,
2657,Vauxhall Corsa 2011 automatic 1.4 petrol,"€5,500","North County, Dublin",Vauxhall,Corsa,---,---,2011,"89,069 mi",Petrol,Unknown,Hatchback,1.4 litre,---,---,5,5,Silver,Ireland,3,390,Apr 2022,---,,,
2658,Kia Sportage 1.6 K3 Mild Hybrid (black Edition),"€35,995",Dublin,KIA,Sportage,K3,Medium Trim,2022,"5,034 km",Hybrid,Manual,SUV,1.6 litre,115hp,11.8 sec,5,5,White,Ireland,1,270,May 2026,5/5,,0.4 kWh,
2659,WE BUY ANY CAR/VAN/4x4,€123,"Ballina, Mayo",Skoda,Superb,Ambition,Medium Trim,2018,"1,234,567 km",Diesel,Manual,Hatchback,2.0 litre,150hp,8.8 sec,5,5,Black,Ireland,1,270,Mar 2022,5/5,,,
2660,BMW 5 Series 530 E M-sport Auto 250BHP ( 182 REG ),"€32,800",Carlow,BMW,5-Series,---,---,2018,"169,734 km",Hybrid,Automatic,Saloon,2.0 litre,---,---,---,4,Grey,Other,1,---,---,---,Available,---,
2661,Kia Ceed 1.0 GT Line,"€27,995",Dublin,KIA,Ceed,---,---,2023,0 km,Petrol,Manual,Hatchback,1.0 litre,---,---,---,5,Grey,Other,---,---,---,---,,,
2662,BMW 6 Series 630d Xdrive M Sport GT,"€48,900",Cork,BMW,6-Series,M Sport,Sports Trim,2018,"63,733 km",Diesel,Automatic,Hatchback,3.0 litre,265hp,6.0 sec,5,5,Grey,Ireland,---,390,---,---,Available,,
2663,Ford Focus Finance From  55 PER Week,"€12,999",Mayo,Ford,Focus,---,---,2016,"96,000 mi",Diesel,Manual,Hatchback,1.5 litre,---,---,---,5,Black,UK,1,180,Oct 2024,---,Available,,
2664,S500 Mercedes,"€3,250","South County, Dublin",Mercedes-Benz,S-Class,,,2004,"160,000 mi",Petrol,Automatic,Saloon,5.0 litre,,,5,4,Silver,Ireland,3,1809,Aug 2021,,,,
2665,Land Rover Discovery Discovery 3.0 SE Comm,"€66,900",Cork,LAND ROVER,Discovery,---,---,2021,"33,019 km",Diesel,Automatic,SUV,3.0 litre,---,---,---,5,Grey,Ireland,1,333,---,---,2 Year,,
2666,2017 Honda Jazz/Fit 1.5 Hybrid automatic 72K miles,"€13,790",Dublin,Honda,Fit,---,---,2017,"72,000 mi",Petrol Hybrid,Automatic,Hatchback,1.5 litre,---,---,5,5,White,Ireland,1,170,Aug 2024,---,Available,---,
2667,OPEL CORSA 1.0 - 2012 - LOW INSURANCE - LOW TAX,"€6,250",Dublin,Opel,Corsa,S,Base Trim,2012,"152,434 km",Petrol,Manual,Hatchback,1.0 litre,65hp,18.2 sec,5,4,Black,Ireland,3,200,Sep 2023,---,3 Month,,
2668,"Mercedes-Benz C-Class,220cdi 2016","€21,999",Dublin,Mercedes-Benz,C-Class,---,Base Trim,2016,"123,000 mi",Diesel,Manual,Saloon,2.1 litre,170hp,7.9 sec,5,5,Silver,Ireland,1,190,May 2024,5/5,12 Month,,
2669,Opel Mokka SRI 1.2 100 BHP Petrol  IN Stock Now,"€28,250",Laois,Opel,Mokka,---,---,2022,0 km,Petrol,Manual,SUV,1.2 litre,---,---,---,5,Red,---,---,200,---,---,3 Year,,
2670,Renault Clio IV Dynamique NAV 1.2 Petr,"€12,950",Laois,Renault,Clio,DYNAMIQUE NAV,Medium Trim,2017,"101,000 km",Petrol,Manual,Hatchback,1.1 litre,75hp,14.5 sec,5,4,White,Ireland,2,270,Mar 2023,---,Available,,
2671,Opel Insignia Grand Sport 1.5 122PS Instock Today,"€38,750",Laois,Opel,Insignia,SC,Base Trim,2022,0 km,Diesel,Manual,Hatchback,1.5 litre,122hp,10.7 sec,5,5,Black,Ireland,---,---,---,5/5,Available,,
2672,Opel Mokka SC 1.6 Cdti 136PS 6 Speed S/S,"€20,250",Laois,Opel,Mokka,SC,Medium Trim,2019,"77,000 km",Diesel,Manual,SUV,1.6 litre,136hp,9.9 sec,5,4,Red,Ireland,1,270,Feb 2023,5/5,Available,,
2673,Kia Sportage 1.7 D EXL 2WD ISG 2,"€15,450",Laois,KIA,Sportage,EXL,Medium Trim,2015,"96,000 km",Diesel,Manual,SUV,1.7 litre,115hp,12.3 sec,5,4,Silver,Ireland,4,280,May 2023,5/5,12 Month,,
2674,Peugeot 3008 1.2 Puretech 130bhp Active,"€21,950",Laois,Peugeot,3008,Active,Medium Trim,2017,"116,000 km",Petrol,Manual,SUV,1.2 litre,130hp,10.8 sec,5,5,White,Ireland,2,190,Sep 2023,5/5,Available,,
2675,Mercedes-Benz C-Class 2012,"£6,500","Lisnaskea, Fermanagh",Mercedes-Benz,C-Class,---,---,2012,"130,000 mi",Diesel,Manual,Saloon,2.1 litre,---,---,5,4,White,Northern Ireland,2,---,---,---,,,
2676,Nissan QASHQAI Mild Hybrid SV Premium Demo,"€36,900",Roscommon,Nissan,Qashqai,SV Premium,Medium Trim,2021,"15,842 km",Petrol,Manual,MPV,1.3 litre,140hp,10.2 sec,5,4,Grey,Ireland,1,390,Aug 2025,---,Available,,
2677,Mercedes-Benz C-Class 180 Avantgarde - Reversing,"€61,258",Dublin,Mercedes-Benz,C-Class,---,---,2022,20 km,Petrol,Automatic,Saloon,1.5 litre,---,---,---,4,Black,Other,---,---,---,---,Available,,
2678,08 Peugeot 407,"€1,800","Enfield, Meath",Peugeot,407,,,2008,---,Diesel,---,Saloon,1.6 litre,,,5,4,Silver,Ireland,2,280,Dec 2022,,,,
2679,AUDI A6 2012 SLINE 2.0TDi,"€10,499",Kilkenny,Audi,A6,S LINE,Sports Trim,2012,"167,000 mi",Diesel,Manual,Saloon,2.0 litre,177hp,8.7 sec,5,4,Grey,Ireland,1,270,Feb 2023,5/5,,,
2680,Toyota Celica 2005,"£1,800","Enniskillen, Fermanagh",Toyota,Celica,,,2005,"125,000 km",Petrol,Manual,Coupe,1.8 litre,,,4,3,Silver,Northern Ireland,9,---,---,,,,
2681,Citroen C4 Grand Picasso 7 Seat NCT 06/23,"€6,250","Waterford City, Waterford",Citroen,C4 Picasso,PLATINUM,Luxury Trim,2013,"193,200 km",Diesel,Manual,MPV,1.6 litre,110hp,12.8 sec,7,4,Brown,Ireland,2,280,Jun 2023,---,,,
2682,"VW Golf, 2014 GTI 2.0 TSI D6F 220BHP 5DR AUTO","€22,950",Dublin,Volkswagen,Golf,R,Sports Trim,2014,"77,648 km",Petrol,Automatic,Hatchback,2.0 litre,300hp,5.1 sec,5,5,White,Ireland,---,400,Mar 2024,5/5,3 Month,,
2683,LOVELY KIA SPORTAGE 2WD 1.7CRDI 116BHP 2014,"€13,950",Sligo,KIA,Sportage,LX,Base Trim,2014,"110,000 mi",Diesel,Manual,SUV,1.7 litre,115hp,12.3 sec,5,5,White,Ireland,2,280,May 2024,---,12 Month,,
2684,BMW 3 Series 320d Xdrive M Sport,"€28,995",Galway,BMW,3-Series,M Sport,Medium Trim,2016,"125,187 km",Diesel,Automatic,Saloon,2.0 litre,190hp,7.3 sec,5,4,Blue,Ireland,3,270,Jun 2022,5/5,2 Year,,
2685,"Volkswagen Scirocco, 2009 2.0 TDI MANUAL 6SPEED","€6,950",Dublin,Volkswagen,Scirocco,,,2009,"134,085 mi",Diesel,Manual,Hatchback,2.0 litre,,,5,3,Black,Ireland,2,280,Mar 2023,,3 Month,,
2686,OPEL CORSA - 1.2 - 2011 - NCT 10/2023 - LOW INSURA,"€6,250",Dublin,Opel,Corsa,SC,Medium Trim,2011,"145,753 km",Petrol,Manual,Hatchback,1.2 litre,85hp,13.6 sec,5,5,Black,Ireland,2,270,Oct 2023,---,3 Month,,
2687,"Volvo XC60, 2015 D5 AWD SE LUXURY GT 5DR AUTO","€25,900",Dublin,Volvo,XC60,SE,Medium Trim,2015,"146,174 km",Diesel,Automatic,SUV,2.4 litre,215hp,7.8 sec,5,5,Silver,Ireland,3,570,Jul 2023,---,3 Month,,
2688,"Volkswagen Golf, 2009 1.4 5DR 80BHP ,NCT02/23","€6,750",Dublin,Volkswagen,Golf,,,2009,"117,266 km",Petrol,Manual,Hatchback,1.4 litre,,,5,5,Silver,Ireland,2,390,Feb 2023,,3 Month,,
2689,"Vw Golf,1.2 Comfortline MK7 DSG APPLE CAR PLAY","€24,950",Dublin,Volkswagen,Golf,Trendline,Base Trim,2019,"22,384 km",Petrol,Automatic,Hatchback,1.2 litre,115hp,9.8 sec,5,5,White,Ireland,---,190,Aug 2026,---,3 Month,,
2690,Volkswagen Passat 2.0,"€6,250","New Ross, Wexford",Volkswagen,Passat,COMFORTLINE,Medium Trim,2011,"157,000 mi",Diesel,Manual,Saloon,2.0 litre,140hp,9.8 sec,5,4,Black,Ireland,5,200,Sep 2023,5/5,,,
2691,Nissan QASHQAI Nissan Qashqai  2015 (152) 1.5dci,"€12,900",Limerick,Nissan,Qashqai,XE,Base Trim,2015,"140,000 mi",Diesel,Manual,Hatchback,1.5 litre,110hp,11.9 sec,5,5,Blue,Ireland,1,180,Nov 2021,5/5,6 Month,,
2692,Nissan Juke,"€10,000",Clare,Nissan,Juke,XE,Base Trim,2014,"122,154 km",Petrol,Manual,SUV,1.6 litre,117hp,11.1 sec,5,4,Black,Ireland,---,280,---,5/5,,,
2693,08 MERCEDES C180 KOMPRESSOR AUTOMATIC,"€4,750",Wexford,Mercedes-Benz,C-Class,,,2008,"151,000 km",Petrol,Automatic,Saloon,1.8 litre,,,5,4,Silver,Ireland,3,636,Mar 2023,,,,
2694,Audi A6 2.0tdi ULTRA NCT TAX 190BHP AUTO,"€13,999",Cork,Audi,A6,SE,Base Trim,2015,"190,000 mi",Diesel,Automatic,Saloon,2.0 litre,190hp,8.2 sec,5,4,Blue,Ireland,2,190,Jun 2023,5/5,,,
2695,Fiat 500X 1.3TD  MJET POP STAR NEW NCT,"€12,500",Cork,Fiat,500X,Pop Star,Medium Trim,2016,"93,270 mi",Diesel,Manual,SUV,1.2 litre,95hp,12.9 sec,5,4,Red,Ireland,2,190,May 2024,4/5,3 Month,,
2696,Audi A5 SLINE 2.0TDI BANG&OLUFSEN SAT NAV BLK EDIT,"€16,999",Cork,Audi,A5,S LINE,Sports Trim,2013,"196,500 km",Diesel,Manual,Hatchback,2.0 litre,143hp,9.4 sec,5,4,Blue,Ireland,3,200,Jul 2023,---,,,
2697,Audi A4 ULTRA 150BHP Sport NCT TAX SAT NAV XENON,"€20,999",Cork,Audi,A4,SE,Medium Trim,2017,"197,500 km",Diesel,Manual,Saloon,2.0 litre,150hp,8.9 sec,5,4,Grey,Ireland,1,190,Jul 2023,5/5,,,
2698,Opel Corsa 1.2 16V eco 5dr,"€5,999",Cork,Opel,Corsa,S,Base Trim,2012,"143,100 km",Petrol,Manual,Hatchback,1.2 litre,85hp,13.6 sec,5,5,Silver,Ireland,2,270,Mar 2023,---,,,
2699,Opel Mokka X SC 1.6cdti 136PS e,"€15,495",Wicklow,Opel,Mokka,SC,Medium Trim,2018,"142,500 km",Diesel,Manual,SUV,1.6 litre,136hp,9.9 sec,5,5,White,Ireland,2,190,Feb 2024,5/5,Available,,
2700,Ford Kuga Titanium 1.5 Tdci 120PS F FWD 4DR,"€22,000",Cork,Ford,Kuga,Titanium,Base Trim,2018,"128,002 km",Diesel,Manual,MPV,1.5 litre,120hp,12.7 sec,5,4,Grey,Ireland,2,200,Mar 2022,5/5,,,
2701,BMW 7-Series 730d NCT LOW TAX,"€9,999",Cork,BMW,7-Series,,,2009,"193,200 mi",Diesel,Automatic,Saloon,3.0 litre,,,5,4,Grey,Ireland,4,750,Mar 2023,,,,
2702,Ford Grand C-MAX 7 seats NCT TAX,"€7,950",Cork,Ford,Grand C-MAX,ACTIV,Base Trim,2012,"121,000 mi",Diesel,Manual,MPV,1.6 litre,95hp,14.3 sec,7,5,Blue,Ireland,1,270,Jun 2023,5/5,3 Month,,
2703,Renault Megane 1.5dci Sat Nav Nct Tax HIGH SPEC,"€15,500",Cork,Renault,Megane,DYNAMIQUE NAV,Medium Trim,2017,"88,868 km",Diesel,Manual,Hatchback,1.5 litre,110hp,11.3 sec,5,4,White,Ireland,1,180,Feb 2023,5/5,3 Month,,
2704,Audi A3 A3 Sportback 30 TDI 116BHP SE  was  37 99,"€35,995",Cork,Audi,A3,SE,Medium Trim,2022,500 km,Diesel,Manual,Hatchback,2.0 litre,116hp,10.1 sec,5,4,Black,Ireland,1,190,Jul 2026,5/5,Available,,
2705,Wanted car for scrap and sell parts,€12,"Castlebar, Mayo",Toyota,Corolla,,,2007,"1,258 km",Diesel,Manual,Saloon,1.4 litre,,,5,4,Silver,Ireland,2,385,May 2022,,,,
2706,Renault Megane 1.5blue dCi 115 Iconic,"€29,950",Kildare,Renault,Megane,ICONIC,Medium Trim,2020,"8,700 km",Diesel,Manual,Hatchback,1.5 litre,115hp,11.1 sec,5,4,Red,Ireland,1,190,Nov 2024,---,3 Year,,
2707,Volkswagen Passat 2014,"£8,999","Lifford, Donegal",Volkswagen,Passat,---,---,2014,"73,000 km",Diesel,Manual,Coupe,2.0 litre,---,---,5,4,Silver,Northern Ireland,2,---,---,---,,,
